hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,0,55507
RTX3090,gpt3-6.7b-moe,ln_f,1,0,62462
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,0,102445
RTX3090,gpt3-6.7b-moe,post_layernorm,1,0,44186
RTX3090,gpt3-6.7b-moe,input_layernorm,1,0,45133
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,0,44792
RTX3090,gpt3-6.7b-moe,attention/dense,1,0,10257
RTX3090,gpt3-6.7b-moe,attention/qkv,1,0,9446
RTX3090,gpt3-6.7b-moe,lm_head,1,0,9455
RTX3090,gpt3-6.7b-moe,mlp/proj,1,0,9281
RTX3090,gpt3-6.7b-moe,mlp/fc,1,0,9101
RTX3090,gpt3-6.7b-moe,gating,1,0,6000
RTX3090,gpt3-6.7b-moe,moe_ffn,1,0,73889
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,1,55517
RTX3090,gpt3-6.7b-moe,ln_f,1,1,62472
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,1,102455
RTX3090,gpt3-6.7b-moe,post_layernorm,1,1,44196
RTX3090,gpt3-6.7b-moe,input_layernorm,1,1,45143
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,1,44802
RTX3090,gpt3-6.7b-moe,attention/dense,1,1,10267
RTX3090,gpt3-6.7b-moe,attention/qkv,1,1,9456
RTX3090,gpt3-6.7b-moe,lm_head,1,1,9465
RTX3090,gpt3-6.7b-moe,mlp/proj,1,1,9291
RTX3090,gpt3-6.7b-moe,mlp/fc,1,1,9111
RTX3090,gpt3-6.7b-moe,gating,1,1,6010
RTX3090,gpt3-6.7b-moe,moe_ffn,1,1,73899
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,2,55527
RTX3090,gpt3-6.7b-moe,ln_f,1,2,62482
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,2,102465
RTX3090,gpt3-6.7b-moe,post_layernorm,1,2,44206
RTX3090,gpt3-6.7b-moe,input_layernorm,1,2,45153
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,2,44812
RTX3090,gpt3-6.7b-moe,attention/dense,1,2,10277
RTX3090,gpt3-6.7b-moe,attention/qkv,1,2,9466
RTX3090,gpt3-6.7b-moe,lm_head,1,2,9475
RTX3090,gpt3-6.7b-moe,mlp/proj,1,2,9301
RTX3090,gpt3-6.7b-moe,mlp/fc,1,2,9121
RTX3090,gpt3-6.7b-moe,gating,1,2,6020
RTX3090,gpt3-6.7b-moe,moe_ffn,1,2,73909
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,3,55537
RTX3090,gpt3-6.7b-moe,ln_f,1,3,62492
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,3,102475
RTX3090,gpt3-6.7b-moe,post_layernorm,1,3,44216
RTX3090,gpt3-6.7b-moe,input_layernorm,1,3,45163
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,3,44822
RTX3090,gpt3-6.7b-moe,attention/dense,1,3,10287
RTX3090,gpt3-6.7b-moe,attention/qkv,1,3,9476
RTX3090,gpt3-6.7b-moe,lm_head,1,3,9485
RTX3090,gpt3-6.7b-moe,mlp/proj,1,3,9311
RTX3090,gpt3-6.7b-moe,mlp/fc,1,3,9131
RTX3090,gpt3-6.7b-moe,gating,1,3,6030
RTX3090,gpt3-6.7b-moe,moe_ffn,1,3,73919
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,4,55547
RTX3090,gpt3-6.7b-moe,ln_f,1,4,62502
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,4,102485
RTX3090,gpt3-6.7b-moe,post_layernorm,1,4,44226
RTX3090,gpt3-6.7b-moe,input_layernorm,1,4,45173
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,4,44832
RTX3090,gpt3-6.7b-moe,attention/dense,1,4,10297
RTX3090,gpt3-6.7b-moe,attention/qkv,1,4,9486
RTX3090,gpt3-6.7b-moe,lm_head,1,4,9495
RTX3090,gpt3-6.7b-moe,mlp/proj,1,4,9321
RTX3090,gpt3-6.7b-moe,mlp/fc,1,4,9141
RTX3090,gpt3-6.7b-moe,gating,1,4,6040
RTX3090,gpt3-6.7b-moe,moe_ffn,1,4,73929
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,5,55557
RTX3090,gpt3-6.7b-moe,ln_f,1,5,62512
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,5,102495
RTX3090,gpt3-6.7b-moe,post_layernorm,1,5,44236
RTX3090,gpt3-6.7b-moe,input_layernorm,1,5,45183
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,5,44842
RTX3090,gpt3-6.7b-moe,attention/dense,1,5,10307
RTX3090,gpt3-6.7b-moe,attention/qkv,1,5,9496
RTX3090,gpt3-6.7b-moe,lm_head,1,5,9505
RTX3090,gpt3-6.7b-moe,mlp/proj,1,5,9331
RTX3090,gpt3-6.7b-moe,mlp/fc,1,5,9151
RTX3090,gpt3-6.7b-moe,gating,1,5,6050
RTX3090,gpt3-6.7b-moe,moe_ffn,1,5,73939
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,6,55567
RTX3090,gpt3-6.7b-moe,ln_f,1,6,62522
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,6,102505
RTX3090,gpt3-6.7b-moe,post_layernorm,1,6,44246
RTX3090,gpt3-6.7b-moe,input_layernorm,1,6,45193
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,6,44852
RTX3090,gpt3-6.7b-moe,attention/dense,1,6,10317
RTX3090,gpt3-6.7b-moe,attention/qkv,1,6,9506
RTX3090,gpt3-6.7b-moe,lm_head,1,6,9515
RTX3090,gpt3-6.7b-moe,mlp/proj,1,6,9341
RTX3090,gpt3-6.7b-moe,mlp/fc,1,6,9161
RTX3090,gpt3-6.7b-moe,gating,1,6,6060
RTX3090,gpt3-6.7b-moe,moe_ffn,1,6,73949
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,7,55577
RTX3090,gpt3-6.7b-moe,ln_f,1,7,62532
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,7,102515
RTX3090,gpt3-6.7b-moe,post_layernorm,1,7,44256
RTX3090,gpt3-6.7b-moe,input_layernorm,1,7,45203
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,7,44862
RTX3090,gpt3-6.7b-moe,attention/dense,1,7,10327
RTX3090,gpt3-6.7b-moe,attention/qkv,1,7,9516
RTX3090,gpt3-6.7b-moe,lm_head,1,7,9525
RTX3090,gpt3-6.7b-moe,mlp/proj,1,7,9351
RTX3090,gpt3-6.7b-moe,mlp/fc,1,7,9171
RTX3090,gpt3-6.7b-moe,gating,1,7,6070
RTX3090,gpt3-6.7b-moe,moe_ffn,1,7,73959
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,8,55587
RTX3090,gpt3-6.7b-moe,ln_f,1,8,62542
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,8,102525
RTX3090,gpt3-6.7b-moe,post_layernorm,1,8,44266
RTX3090,gpt3-6.7b-moe,input_layernorm,1,8,45213
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,8,44872
RTX3090,gpt3-6.7b-moe,attention/dense,1,8,10337
RTX3090,gpt3-6.7b-moe,attention/qkv,1,8,9526
RTX3090,gpt3-6.7b-moe,lm_head,1,8,9535
RTX3090,gpt3-6.7b-moe,mlp/proj,1,8,9361
RTX3090,gpt3-6.7b-moe,mlp/fc,1,8,9181
RTX3090,gpt3-6.7b-moe,gating,1,8,6080
RTX3090,gpt3-6.7b-moe,moe_ffn,1,8,73969
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,9,55597
RTX3090,gpt3-6.7b-moe,ln_f,1,9,62552
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,9,102535
RTX3090,gpt3-6.7b-moe,post_layernorm,1,9,44276
RTX3090,gpt3-6.7b-moe,input_layernorm,1,9,45223
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,9,44882
RTX3090,gpt3-6.7b-moe,attention/dense,1,9,10347
RTX3090,gpt3-6.7b-moe,attention/qkv,1,9,9536
RTX3090,gpt3-6.7b-moe,lm_head,1,9,9545
RTX3090,gpt3-6.7b-moe,mlp/proj,1,9,9371
RTX3090,gpt3-6.7b-moe,mlp/fc,1,9,9191
RTX3090,gpt3-6.7b-moe,gating,1,9,6090
RTX3090,gpt3-6.7b-moe,moe_ffn,1,9,73979
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,10,55607
RTX3090,gpt3-6.7b-moe,ln_f,1,10,62562
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,10,102545
RTX3090,gpt3-6.7b-moe,post_layernorm,1,10,44286
RTX3090,gpt3-6.7b-moe,input_layernorm,1,10,45233
